brand,discount,mall,new_price,number_reviews,price,product,shop,tag
Lenovo,-13%,Non-Mall,"₫13,100,000",No Ratings,"₫15,000,000","Lenovo Thinkpad X1 Carbon Gen4, Mỏng Nhẹ, Màn Siêu Nét, Bảo Mật Vân Tay, i5-6300U, RAM 8G, SSD 256G, VGA Intel HD 520, Màn 14 QHD 2.5K IPS",Chuyên laptop gaming- đồ hoạ - văn phòng,Traditional Laptops
ASUS,,Non-Mall,"₫7,990,000",No Ratings,,Laptop Asus X507/ N5000/ 4G/ SSD128 -500G/ 15in/ Viền Mỏng/ Win 10/ Giá rẻ,Minh Mẫn Laptop,Traditional Laptops
Dell,-25%,Non-Mall,"₫20,590,000",No Ratings,"₫27,287,000","[Freeship] Laptop Dell Inspiron 15 3505 15.6inch FHD (Y1N1T5)/ Đen/ AMD Ryzen 5 - 3500U/ RAM 8GB DDR4/ 512GB SSD/ 3Cell/ Win 10/ 1Yr -AI Tech Store- AI96 Hàng Chính Hãng, Cấu Hình Ổn Định Dùng Cho Văn Phòng, Thiết Kế Đồ Họa, Gaming",AI Tech Store,Traditional Laptops
ASUS,-3%,Non-Mall,"₫41,590,000",No Ratings,"₫42,990,000",Laptop ASUS ROG Strix G15 G513QM-HQ283T (R9-5900HX | 16GB | 512GB | GeForce RTX™ 3060 6GB | 15.6' WQHD 165Hz | Win 10),Hangchinhhieu Store,Gaming Laptops
Lenovo,,Non-Mall,"₫15,890,000",No Ratings,,Lenovo IdeaPad 5 14IIL05 i5-1035G1/ RAM 8GB / SSD 256GB / Intel UHD Graphics/ 14 inch,No.1 Computer,Traditional Laptops
Dell,,Mall,"₫31,990,000",No Ratings,,"Laptop Dell G3 15 i7 10750H/16GB/512GB/6GB GTX1660Ti/15.6""F/Win10/(P89F002BWH)/Trắng",Thế Giới Di Động Official,Gaming Laptops
Toshiba,,Non-Mall,"₫3,488,000",1 Ratings,,Laptop Toshiba Portege R731 siêu mỏng nhẹ - i5 2520 Ram 4G SSD 128G,TheLinhStore,Traditional Laptops
Dell,,Non-Mall,"₫5,500,000",No Ratings,,Laptop Dell Latitude E6320/ i5 2520M/ 4 - 16G/ SSD128 - 500G/ 13.3in/ Win 10/ Giá rẻ,Minh Mẫn Laptop,Traditional Laptops
No Brand,-49%,Non-Mall,"₫3,490,000",No Ratings,"₫6,780,000","Thanh lý máy tính laptop dell ram 4gb Ổ cứng SSD win 10 đầy đủ phụ kiện về dùng học online, làm việc, giải trí ok",Kho hàng sỉ Phú Thành,Traditional Laptops
Lenovo,-21%,Non-Mall,"₫15,190,000",No Ratings,"₫19,350,000","[Freeship] Laptop Lenovo Ideapad Slim 3 14ITL6 (82H700DNVN)/ Grey/ Intel Core i3-1115G4 (up to 4.10 Ghz, 6 MB)/ RAM 8GB DDR4/ 512GB SSD/ Intel UHD Graphics/ 14 inch FHD/ 2 Cell/ Win 10H/ 2 Yrs -AI Tech Store- AI142 Hàng Chính Hãng",AI Tech Store,Traditional Laptops
HP,,Non-Mall,"₫13,990,000",No Ratings,,"[Xịn Xò & Sang Trọng] Laptop HP Probook 430 G6 Core i5 8265U/ Ram 8Gb/ SSD 512Gb/ màn hình tràn viền, vân tay 1 chạm .",Việt Thanh OneShop,Traditional Laptops
HP,,Non-Mall,"₫13,500,000",No Ratings,,Laptop HP Elitebook 840 G3/ i7 6600U/ Ram 8G/ SSD 256G/ Phiên Bản Giới Hạn/ Cảm ứng Như IPAD/ Đỉnh cao doanh nhân,Minh Mẫn Laptop,2-in-1s
Dell,-21%,Non-Mall,"₫11,900,000",No Ratings,"₫15,000,000","Laptop máy trạm Dell Precision Workstation M4800 Core i7-4800QM, 8gb Ram, 256gb SSD, VGA Quadro K1100M, 15.6inch Full HD",KHOA TUNG COMPUTER,Gaming Laptops
HP,,Non-Mall,"₫4,000,000",No Ratings,,HP EliteBook 8470P,4lSCzwUg,Traditional Laptops
Dell,-2%,Non-Mall,"₫19,000,000",No Ratings,"₫19,400,000","[Mới 100%] Dell Inspiron 15 5505 ( Ryzen R5-4500U, RAM 16G, SSD 512G, VGA AMD Vega 6, màn 15.6 Full HD, IPS)",Thế Giới Số 365,Traditional Laptops
Dell,,Non-Mall,"₫18,500,000",No Ratings,,"Laptop Dell XPS 13 9360, I5 7200U 8G SSD256 QHD 3K TOUCH Đẹp Zin 100% Giá rẻ",Minh Mẫn Laptop,Traditional Laptops
Dell,-31%,Non-Mall,"₫5,490,000",1 Ratings,"₫7,999,000",Laptop Dell Latitude E6520 core i5 RAM 8G HDD 1TB Vga HD Màn 15.6 - Tặng Túi + chuột không Dây,Laptop 86,Traditional Laptops
No Brand,,Non-Mall,"₫1,500,000",7 Ratings,,laptop core 2 giá rẻ phục vụ học online văn phòng giải trí...,h2luan LPC,Traditional Laptops
ACER,-23%,Non-Mall,"₫14,490,000",No Ratings,"₫18,837,000","[Freeship] Laptop Acer Aspire 3 A315-56-502X 15.6inch FHD IPS (NX.HS5SV.00F)/ Core i5-1035G1/ RAM 4 GB DDR4/ 256GB SSD/ 2 Cell/ Win 10H/ Black -AI Tech Store- AI103 Hàng Chính Hãng, Thiết Kế Mỏng Nhẹ, Cấu Hình Ổn Định Dùng Cho Văn Phòng, Thiết Kế",AI Tech Store,Traditional Laptops
